failure_rate,correction_budget,final_instability,latency_ms,window,min_hits,seed
0.2264,7165050,0.5656623074254585,2556.810140609741,3,1,0
0.2409,7079525,0.5922663122469171,2561.3338947296143,3,1,1
0.2328,7115759,0.5712707181809566,2555.0270080566406,3,1,2
0.2332,7132375,0.577160706106866,2554.8243522644043,3,1,3
0.2323,7134635,0.5684852080887159,2554.7451972961426,3,1,4
0.2266,7141853,0.5672171059985792,2555.2005767822266,3,1,5
0.2334,7121110,0.57302147750182,2554.241895675659,3,1,6
0.2361,7106868,0.5890545011374052,2554.6326637268066,3,1,7
0.2324,7125533,0.568952574412918,2565.927267074585,3,1,8
0.2336,7111239,0.5802642607483028,2556.1156272888184,3,1,9
0.2344,7120119,0.5763448369048985,2555.802583694458,3,1,10
0.2314,7129540,0.5725852892076735,2556.607961654663,3,1,11
0.2373,7110975,0.5877253339519198,2556.002616882324,3,1,12
0.2315,7124130,0.570705490824449,2557.1184158325195,3,1,13
0.2295,7150213,0.5737850253771758,2558.2432746887207,3,1,14
0.231,7147756,0.5758795620982199,2556.150197982788,3,1,15
0.2356,7113781,0.5837371176786572,2557.278633117676,3,1,16
0.2335,7132224,0.5717080134595557,2557.339906692505,3,1,17
0.2368,7107314,0.5851385773324143,2555.8125972747803,3,1,18
0.2418,7094454,0.5865356148583275,2555.697202682495,3,1,19
0.2335,7132039,0.5700190479061589,2557.551383972168,3,1,20
0.2327,7124862,0.5703732378559546,2556.1840534210205,3,1,21
0.2369,7107693,0.5780346106202501,2556.2238693237305,3,1,22
0.2313,7129694,0.5744867388645589,2562.613010406494,3,1,23
0.2402,7094711,0.5793031252723542,2558.2995414733887,3,1,24
0.2257,7159254,0.5682877621257956,2561.483144760132,3,1,25
0.2281,7150524,0.5729546059639928,2561.5603923797607,3,1,26
0.2361,7114379,0.5684578651843615,2559.575080871582,3,1,27
0.2295,7137399,0.5746449389030891,2560.661554336548,3,1,28
0.2335,7141912,0.5799878322992047,2561.1302852630615,3,1,29
0.1391,3644446,0.42678711478874154,2354.029417037964,3,2,0
0.1402,3623766,0.42927606376463,2355.0095558166504,3,2,1
0.1458,3621712,0.4347228466449565,2353.0266284942627,3,2,2
0.1395,3645472,0.4206090234340726,2351.8993854522705,3,2,3
0.1418,3630051,0.4349563500036601,2352.6477813720703,3,2,4
0.1441,3626150,0.43464055538126106,2351.5141010284424,3,2,5
0.1432,3623835,0.43369844521290624,2354.145050048828,3,2,6
0.1403,3636922,0.4268206149234177,2352.153778076172,3,2,7
0.1401,3639242,0.4263972211377397,2352.62131690979,3,2,8
0.1424,3626474,0.4345143865006683,2352.9651165008545,3,2,9
0.1382,3631748,0.4264299583467533,2354.877471923828,3,2,10
0.1405,3635066,0.43255703005397445,2352.818250656128,3,2,11
0.1431,3636719,0.4334654871829982,2354.203701019287,3,2,12
0.1404,3631102,0.426081572343502,2352.621555328369,3,2,13
0.1424,3631497,0.43298321441805365,2355.0143241882324,3,2,14
0.1441,3624931,0.43813875758283877,2354.8314571380615,3,2,15
0.1385,3638153,0.42807747937344964,2355.7825088500977,3,2,16
0.1451,3623477,0.4355469854949179,2355.4604053497314,3,2,17
0.1392,3632437,0.42862914875690633,2354.1929721832275,3,2,18
0.1416,3633626,0.42965997528500494,2353.2910346984863,3,2,19
0.1363,3643540,0.4219794553061817,2352.6885509490967,3,2,20
0.1408,3637277,0.42671870101791026,2351.916551589966,3,2,21
0.1386,3636658,0.42998989757669176,2351.459264755249,3,2,22
0.1412,3631765,0.4313195767299782,2354.039192199707,3,2,23
0.1483,3616119,0.4350943844173291,2351.653814315796,3,2,24
0.1442,3620596,0.44299543001339226,2353.289842605591,3,2,25
0.14,3640774,0.42724267138558514,2352.0915508270264,3,2,26
0.1444,3626774,0.438467938000553,2351.8569469451904,3,2,27
0.1401,3636176,0.42581192699132137,2351.7889976501465,3,2,28
0.1432,3629299,0.4320192846110638,2351.769208908081,3,2,29
0.0813,844217,0.3482610547727198,2024.925708770752,3,3,0
0.0781,840985,0.34754999594241415,2024.9483585357666,3,3,1
0.0849,840439,0.35861076497335626,2028.8376808166504,3,3,2
0.0765,843844,0.34603638310892737,2025.1305103302002,3,3,3
0.0808,839712,0.352017875290344,2024.6732234954834,3,3,4
0.0781,840543,0.3470005536331886,2023.270845413208,3,3,5
0.0825,838754,0.35284052835215796,2023.4239101409912,3,3,6
0.0784,841466,0.347505823108599,2022.4173069000244,3,3,7
0.0805,842589,0.35102750988088527,2024.1775512695312,3,3,8
0.0767,843379,0.3441704289514855,2023.317813873291,3,3,9
0.0827,839352,0.347844325807943,2024.0769386291504,3,3,10
0.077,841413,0.3390093573866377,2023.1528282165527,3,3,11
0.0798,841423,0.34646491586221484,2022.5937366485596,3,3,12
0.0781,843051,0.3484341729654173,2023.9148139953613,3,3,13
0.0811,841845,0.34705962553684544,2023.524284362793,3,3,14
0.0751,842568,0.341233736437688,2023.1678485870361,3,3,15
0.0819,839911,0.35207805293528893,2024.3864059448242,3,3,16
0.0773,843027,0.3413702448264384,2024.066686630249,3,3,17
0.0785,842587,0.34183181911810606,2023.9593982696533,3,3,18
0.0837,839046,0.3542806951373943,2024.857759475708,3,3,19
0.0758,842566,0.34155898409423463,2024.6424674987793,3,3,20
0.0819,841932,0.3437319297827792,2022.4387645721436,3,3,21
0.0794,841860,0.3466103326032856,2023.594856262207,3,3,22
0.0792,841993,0.34478142528386874,2021.8656063079834,3,3,23
0.0781,837186,0.3417753568303414,2022.6466655731201,3,3,24
0.0789,841336,0.35117002822807636,2024.6801376342773,3,3,25
0.0754,844219,0.33950690590943605,2023.902177810669,3,3,26
0.0799,842304,0.3456201296773156,2023.3335494995117,3,3,27
0.0792,842398,0.34699467932142264,2023.733139038086,3,3,28
0.0815,838113,0.3485169875640391,2023.17214012146,3,3,29
0.5453,0,1.1299016666747634,1939.9521350860596,3,4,0
0.5454,0,1.1396844464532767,1941.263198852539,3,4,1
0.5441,0,1.1516490837302378,1939.9220943450928,3,4,2
0.5442,0,1.1445656680531338,1939.0177726745605,3,4,3
0.5423,0,1.1545317901997432,1940.9239292144775,3,4,4
0.5419,0,1.14478884775509,1941.0388469696045,3,4,5
0.5478,0,1.1416641728957377,1940.1943683624268,3,4,6
0.5407,0,1.137692147889875,1939.6867752075195,3,4,7
0.5466,0,1.151777631370351,1940.6285285949707,3,4,8
0.5448,0,1.1362450436204836,1942.0585632324219,3,4,9
0.5434,0,1.1316155018792828,1939.769983291626,3,4,10
0.5483,0,1.1474071801474637,1942.3704147338867,3,4,11
0.5453,0,1.140172903649768,1940.9053325653076,3,4,12
0.5424,0,1.1475796896846338,1941.8606758117676,3,4,13
0.5445,0,1.128633212260495,1941.8561458587646,3,4,14
0.5435,0,1.1459173072332363,1942.4033164978027,3,4,15
0.5444,0,1.1478609547571985,1941.309928894043,3,4,16
0.5542,0,1.136645223567208,1941.8342113494873,3,4,17
0.5445,0,1.1374920048780897,1942.5733089447021,3,4,18
0.541,0,1.13644559943635,1941.544771194458,3,4,19
0.5469,0,1.1315825527431995,1942.462682723999,3,4,20
0.5471,0,1.1510074100974172,1939.0134811401367,3,4,21
0.5528,0,1.1456456886242063,1940.83833694458,3,4,22
0.5429,0,1.1338726176391745,1940.2225017547607,3,4,23
0.5419,0,1.1402744656430144,1940.0303363800049,3,4,24
0.5426,0,1.159158505184815,1942.0087337493896,3,4,25
0.5418,0,1.1425750951714309,1941.3723945617676,3,4,26
0.5476,0,1.163490971561591,1941.2713050842285,3,4,27
0.5351,0,1.1317433905203385,1939.79811668396,3,4,28
0.5357,0,1.1355064983998606,1939.6533966064453,3,4,29
