window,min_hits,failure_rate,correction_budget,final_instability,latency_ms
3,1,0.2333,7125230.6667,0.5758,2557.6731
3,2,0.1416,3631860.1333,0.4309,2353.1887
3,3,0.0794,841468.6,0.3468,2023.8944
3,4,0.5443,0.0,1.1422,1940.9262
3,5,0.5443,0.0,1.1422,1940.6143
5,1,0.2599,8087138.1,0.6179,2672.9603
5,2,0.2098,6264963.0333,0.5385,2581.1072
5,3,0.1322,3372767.8667,0.4146,2397.038
5,4,0.0782,1121580.8333,0.3366,2129.1224
5,5,0.082,293488.3667,0.3736,2016.5192
7,1,0.2687,8407808.3,0.6328,2759.3359
7,2,0.245,7570284.3333,0.5938,2720.2067
7,3,0.1926,5660881.1333,0.5089,2619.1279
7,4,0.1264,3162981.8333,0.4045,2448.2641
7,5,0.0783,1255507.9,0.3351,2218.4634
10,1,0.2728,8534383.4333,0.639,2859.2335
10,2,0.2653,8298274.9,0.6287,2848.9545
10,3,0.244,7537107.3667,0.5921,2813.1431
10,4,0.2035,6003101.0333,0.5276,2735.3028
10,5,0.1461,3933687.6333,0.4349,2612.9735
