mode,seed,noise,failures,failure_rate,correction_budget,latency_ms,final_instability
control,0,0.0,9960,0.996,0,1318.183739000233,0.9182
control,1,0.0,9970,0.997,0,1315.2804309793282,0.9147
control,2,0.0,9961,0.9961,0,1314.727765013231,0.9158
control,3,0.0,9966,0.9966,0,1314.9849229957908,0.9181
control,4,0.0,9965,0.9965,0,1314.7535640164278,0.9131
control,5,0.0,9968,0.9968,0,1315.4279789887369,0.9146
control,6,0.0,9960,0.996,0,1315.1656449772418,0.9199
control,7,0.0,9956,0.9956,0,1314.5751490083057,0.9197
control,8,0.0,9973,0.9973,0,1314.0954420086928,0.9219
control,9,0.0,9954,0.9954,0,1314.838171005249,0.9196
control,10,0.0,9957,0.9957,0,1314.508540002862,0.9219
control,11,0.0,9962,0.9962,0,1314.5661790040322,0.9165
control,12,0.0,9971,0.9971,0,1316.3183880096767,0.9151
control,13,0.0,9968,0.9968,0,1314.8625090252608,0.9206
control,14,0.0,9966,0.9966,0,1315.1535879878793,0.9148
control,15,0.0,9956,0.9956,0,1314.9049860076047,0.9134
control,16,0.0,9960,0.996,0,1314.2658160068095,0.9127
control,17,0.0,9954,0.9954,0,1314.5576609822456,0.9141
control,18,0.0,9959,0.9959,0,1315.063464018749,0.9145
control,19,0.0,9962,0.9962,0,1315.2346669812687,0.9174
control,20,0.0,9961,0.9961,0,1315.3680149989668,0.9153
control,21,0.0,9956,0.9956,0,1313.7740610109176,0.914
control,22,0.0,9955,0.9955,0,1313.6659650190268,0.9185
control,23,0.0,9955,0.9955,0,1313.9864499971736,0.9165
control,24,0.0,9951,0.9951,0,1314.2310029943474,0.9198
control,25,0.0,9972,0.9972,0,1314.5034860062879,0.9208
control,26,0.0,9953,0.9953,0,1314.2865910194814,0.9169
control,27,0.0,9951,0.9951,0,1314.8826010001358,0.9152
control,28,0.0,9964,0.9964,0,1315.3912469861098,0.9138
control,29,0.0,9958,0.9958,0,1314.6961409947835,0.9171
control,30,0.0,9966,0.9966,0,1315.5343260150403,0.9162
control,31,0.0,9964,0.9964,0,1315.8247969986405,0.9164
control,32,0.0,9967,0.9967,0,1314.8182630247902,0.9172
control,33,0.0,9959,0.9959,0,1313.6248810042161,0.9153
control,34,0.0,9956,0.9956,0,1314.8070070019457,0.9212
control,35,0.0,9963,0.9963,0,1315.1025940023828,0.9185
control,36,0.0,9965,0.9965,0,1314.4658230012283,0.917
control,37,0.0,9969,0.9969,0,1314.948392973747,0.9151
control,38,0.0,9960,0.996,0,1316.2180340150371,0.915
control,39,0.0,9964,0.9964,0,1314.5690620003734,0.9148
control,40,0.0,9960,0.996,0,1315.2553460095078,0.9115
control,41,0.0,9949,0.9949,0,1315.2766590064857,0.9161
control,42,0.0,9958,0.9958,0,1314.744719013106,0.9156
control,43,0.0,9969,0.9969,0,1315.112598997075,0.9149
control,44,0.0,9964,0.9964,0,1314.4789949874394,0.912
control,45,0.0,9969,0.9969,0,1315.2162159967702,0.914
control,46,0.0,9969,0.9969,0,1315.599359018961,0.9168
control,47,0.0,9957,0.9957,0,1315.0584300165065,0.9174
control,48,0.0,9962,0.9962,0,1315.2164780185558,0.9246
control,49,0.0,9964,0.9964,0,1315.650884003844,0.9141
continuous_supervision,0,0.0,1,0.0001,2566793,1992.4915860174224,0.0168
continuous_supervision,1,0.0,0,0.0,2568474,1991.5639749960974,0.0156
continuous_supervision,2,0.0,1,0.0001,2565087,1992.0152550039347,0.0145
continuous_supervision,3,0.0,0,0.0,2568851,1992.4441660114098,0.0148
continuous_supervision,4,0.0,5,0.0005,2565489,1991.2752090021968,0.0148
continuous_supervision,5,0.0,0,0.0,2562873,1991.3120520068333,0.0164
continuous_supervision,6,0.0,1,0.0001,2563726,1989.969268994173,0.0159
continuous_supervision,7,0.0,0,0.0,2570746,1991.147047985578,0.0151
continuous_supervision,8,0.0,0,0.0,2562010,1989.9872100213543,0.0161
continuous_supervision,9,0.0,0,0.0,2569957,1990.6669379852246,0.0171
continuous_supervision,10,0.0,0,0.0,2566584,1990.0288619974162,0.0166
continuous_supervision,11,0.0,0,0.0,2566449,1990.6687809852883,0.015
continuous_supervision,12,0.0,1,0.0001,2563026,1990.0645939924289,0.0144
continuous_supervision,13,0.0,2,0.0002,2568919,1990.7348149863537,0.0131
continuous_supervision,14,0.0,2,0.0002,2568380,1990.9456100140233,0.0154
continuous_supervision,15,0.0,0,0.0,2567669,1990.0073699827772,0.0165
continuous_supervision,16,0.0,1,0.0001,2569137,1990.393045998644,0.016
continuous_supervision,17,0.0,1,0.0001,2569280,1990.3530209849123,0.0146
continuous_supervision,18,0.0,1,0.0001,2574823,1990.978633024497,0.0165
continuous_supervision,19,0.0,0,0.0,2568481,1989.6826620097272,0.0151
continuous_supervision,20,0.0,0,0.0,2570401,1990.0576490035746,0.0159
continuous_supervision,21,0.0,0,0.0,2561357,1988.4890670073219,0.0173
continuous_supervision,22,0.0,0,0.0,2567444,1990.4195520211942,0.0162
continuous_supervision,23,0.0,1,0.0001,2569633,1989.5716159953736,0.014
continuous_supervision,24,0.0,0,0.0,2569392,1990.4733570001554,0.0153
continuous_supervision,25,0.0,1,0.0001,2569584,1990.8113810233772,0.0155
continuous_supervision,26,0.0,1,0.0001,2567237,1990.420536021702,0.0168
continuous_supervision,27,0.0,1,0.0001,2562294,1990.5188450065907,0.0159
continuous_supervision,28,0.0,2,0.0002,2566450,1990.8028210047632,0.0148
continuous_supervision,29,0.0,0,0.0,2567009,1991.0444270062726,0.0155
continuous_supervision,30,0.0,0,0.0,2564794,1989.3228810105938,0.0152
continuous_supervision,31,0.0,0,0.0,2569438,1991.1209470010363,0.0177
continuous_supervision,32,0.0,0,0.0,2569766,1990.8211730071343,0.0172
continuous_supervision,33,0.0,0,0.0,2565153,1990.0602420093492,0.0163
continuous_supervision,34,0.0,1,0.0001,2570235,1991.3244479976129,0.0165
continuous_supervision,35,0.0,1,0.0001,2569087,1990.6203169957735,0.015
continuous_supervision,36,0.0,0,0.0,2569404,1990.5812469951343,0.0154
continuous_supervision,37,0.0,0,0.0,2565409,1989.4463920209091,0.0164
continuous_supervision,38,0.0,0,0.0,2569585,1990.1560319995042,0.0148
continuous_supervision,39,0.0,0,0.0,2573174,1991.5447180101182,0.016
continuous_supervision,40,0.0,1,0.0001,2570376,1989.9503380001988,0.0165
continuous_supervision,41,0.0,1,0.0001,2562372,1989.1615959932096,0.0162
continuous_supervision,42,0.0,2,0.0002,2564906,1989.8353000171483,0.0163
continuous_supervision,43,0.0,1,0.0001,2566023,1990.2332560159266,0.0142
continuous_supervision,44,0.0,0,0.0,2565740,1990.070598985767,0.0156
continuous_supervision,45,0.0,1,0.0001,2565179,1990.4700269980822,0.0155
continuous_supervision,46,0.0,1,0.0001,2568983,1991.294929990545,0.0184
continuous_supervision,47,0.0,0,0.0,2565232,1989.759652002249,0.0184
continuous_supervision,48,0.0,0,0.0,2568805,1991.1066720087547,0.0144
continuous_supervision,49,0.0,0,0.0,2565537,1990.4388900031336,0.0149
event_gated_no_cooccurrence,0,0.0,397,0.0397,997339,1770.6805329944473,0.0639
event_gated_no_cooccurrence,1,0.0,476,0.0476,1000491,1782.1371350146364,0.0675
event_gated_no_cooccurrence,2,0.0,430,0.043,1002601,1770.0224809814245,0.0666
event_gated_no_cooccurrence,3,0.0,451,0.0451,999892,1769.2724780063145,0.0658
