mode,seed,noise,failures,failure_rate,correction_budget,latency_ms,final_instability
control,0,0.0,4201,0.4201,0,1192.6544540037867,0.7566
control,1,0.0,4322,0.4322,0,1190.783261001343,0.7684
control,2,0.0,4227,0.4227,0,1189.9672750150785,0.7552
control,3,0.0,4256,0.4256,0,1190.040854999097,0.7565
control,4,0.0,4179,0.4179,0,1189.5682720059995,0.7629
control,5,0.0,4265,0.4265,0,1189.0996889851522,0.7631
control,6,0.0,4166,0.4166,0,1190.4473330068868,0.7591
control,7,0.0,4288,0.4288,0,1190.3154340106994,0.7542
control,8,0.0,4103,0.4103,0,1189.7361270093825,0.7581
control,9,0.0,4260,0.426,0,1190.2033860096708,0.7592
control,10,0.0,4277,0.4277,0,1189.322979975259,0.7618
control,11,0.0,4248,0.4248,0,1189.3417749961372,0.7603
control,12,0.0,4221,0.4221,0,1189.0006520261522,0.754
control,13,0.0,4258,0.4258,0,1189.8846300027799,0.7618
control,14,0.0,4218,0.4218,0,1189.9251849972643,0.7577
control,15,0.0,4171,0.4171,0,1190.838251990499,0.7578
control,16,0.0,4215,0.4215,0,1189.9660059716552,0.7616
control,17,0.0,4274,0.4274,0,1190.8504320017528,0.7579
control,18,0.0,4210,0.421,0,1190.0710860209074,0.759
control,19,0.0,4277,0.4277,0,1191.0190019989386,0.7707
control,20,0.0,4312,0.4312,0,1191.4284020022023,0.7621
control,21,0.0,4255,0.4255,0,1190.7544679997955,0.7594
control,22,0.0,4251,0.4251,0,1190.3824330074713,0.7677
control,23,0.0,4163,0.4163,0,1190.7113500055857,0.7586
control,24,0.0,4181,0.4181,0,1189.5960560068488,0.7617
control,25,0.0,4296,0.4296,0,1190.6103729852475,0.7638
control,26,0.0,4175,0.4175,0,1189.6874379890505,0.7556
control,27,0.0,4111,0.4111,0,1189.9292810121551,0.7566
control,28,0.0,4199,0.4199,0,1189.9284899991471,0.7653
control,29,0.0,4246,0.4246,0,1189.7955030144658,0.7626
control,30,0.0,4246,0.4246,0,1190.6035729916766,0.7561
control,31,0.0,4184,0.4184,0,1189.3185759836342,0.7594
control,32,0.0,4314,0.4314,0,1190.7901270024013,0.7612
control,33,0.0,4258,0.4258,0,1190.035870007705,0.7658
control,34,0.0,4165,0.4165,0,1189.0948850195855,0.76
control,35,0.0,4195,0.4195,0,1189.9718850036152,0.7616
control,36,0.0,4183,0.4183,0,1189.8236649867613,0.756
control,37,0.0,4221,0.4221,0,1190.134119009599,0.7545
control,38,0.0,4156,0.4156,0,1189.5999340049457,0.7599
control,39,0.0,4270,0.427,0,1190.4871739970986,0.7623
control,40,0.0,4186,0.4186,0,1190.3909239917994,0.7605
control,41,0.0,4191,0.4191,0,1190.1943499979097,0.7612
control,42,0.0,4250,0.425,0,1189.906701009022,0.7615
control,43,0.0,4274,0.4274,0,1190.7036989869084,0.7608
control,44,0.0,4248,0.4248,0,1190.3447840013541,0.7626
control,45,0.0,4273,0.4273,0,1190.6628840079065,0.7708
control,46,0.0,4156,0.4156,0,1190.7419039926026,0.7586
control,47,0.0,4260,0.426,0,1189.8285680217668,0.7632
control,48,0.0,4227,0.4227,0,1189.5751289848704,0.7586
control,49,0.0,4311,0.4311,0,1190.8719209895935,0.7611
continuous_supervision,0,0.0,0,0.0,509636,1693.334406008944,0.0002
continuous_supervision,1,0.0,0,0.0,512412,1697.0463019970339,0.0
continuous_supervision,2,0.0,0,0.0,511778,1692.0638059964404,0.0
continuous_supervision,3,0.0,0,0.0,510820,1691.3226759934332,0.0
continuous_supervision,4,0.0,0,0.0,511860,1695.5088289978448,0.0001
continuous_supervision,5,0.0,0,0.0,509364,1692.5512379966676,0.0
continuous_supervision,6,0.0,0,0.0,511530,1691.85430201469,0.0001
continuous_supervision,7,0.0,0,0.0,512635,1711.4476350252517,0.0001
continuous_supervision,8,0.0,0,0.0,511858,1700.8147579908837,0.0
continuous_supervision,9,0.0,0,0.0,510615,1698.881137999706,0.0001
continuous_supervision,10,0.0,0,0.0,512000,1700.1877629954834,0.0001
continuous_supervision,11,0.0,0,0.0,513241,1699.5091319840867,0.0
continuous_supervision,12,0.0,0,0.0,511850,1700.4309759940952,0.0002
continuous_supervision,13,0.0,0,0.0,512092,1700.5565659783315,0.0003
continuous_supervision,14,0.0,0,0.0,511661,1700.2127960149664,0.0
continuous_supervision,15,0.0,0,0.0,510918,1698.8149709941354,0.0
continuous_supervision,16,0.0,0,0.0,511487,1699.0170440112706,0.0002
continuous_supervision,17,0.0,0,0.0,511579,1700.6550079968292,0.0002
continuous_supervision,18,0.0,0,0.0,512538,1692.3790790024213,0.0
continuous_supervision,19,0.0,0,0.0,512311,1692.8261189896148,0.0003
continuous_supervision,20,0.0,0,0.0,511712,1692.3365189868491,0.0002
continuous_supervision,21,0.0,0,0.0,512942,1692.6818930078298,0.0002
continuous_supervision,22,0.0,0,0.0,511771,1691.8886009952985,0.0004
continuous_supervision,23,0.0,0,0.0,513858,1692.8852300043218,0.0
continuous_supervision,24,0.0,0,0.0,512686,1691.7320220090915,0.0002
continuous_supervision,25,0.0,0,0.0,511307,1692.2305210027844,0.0002
continuous_supervision,26,0.0,0,0.0,512291,1691.5233120089397,0.0001
continuous_supervision,27,0.0,0,0.0,509403,1693.2145269820467,0.0001
continuous_supervision,28,0.0,0,0.0,513845,1692.4989979888778,0.0
continuous_supervision,29,0.0,0,0.0,513022,1694.865244004177,0.0001
continuous_supervision,30,0.0,0,0.0,512571,1693.935818009777,0.0
continuous_supervision,31,0.0,0,0.0,511064,1691.1366299900692,0.0
continuous_supervision,32,0.0,0,0.0,510715,1692.3935240192804,0.0
continuous_supervision,33,0.0,0,0.0,511075,1691.7136109841522,0.0
continuous_supervision,34,0.0,0,0.0,511966,1691.3310870004352,0.0001
continuous_supervision,35,0.0,0,0.0,512557,1691.6547309956513,0.0001
continuous_supervision,36,0.0,0,0.0,513306,1692.2892979928292,0.0001
continuous_supervision,37,0.0,0,0.0,512144,1692.048185999738,0.0001
continuous_supervision,38,0.0,0,0.0,511824,1691.5255270141643,0.0001
continuous_supervision,39,0.0,0,0.0,512122,1692.1637100167572,0.0
continuous_supervision,40,0.0,0,0.0,513288,1692.5377560255583,0.0
continuous_supervision,41,0.0,0,0.0,511963,1694.0784369944595,0.0003
continuous_supervision,42,0.0,0,0.0,512946,1693.1459699990228,0.0001
continuous_supervision,43,0.0,0,0.0,511017,1692.0151920057833,0.0001
continuous_supervision,44,0.0,0,0.0,512208,1692.5584609853104,0.0001
continuous_supervision,45,0.0,0,0.0,511345,1693.1035520101432,0.0
continuous_supervision,46,0.0,0,0.0,511243,1691.861250990769,0.0
continuous_supervision,47,0.0,0,0.0,513445,1694.5435410016216,0.0
continuous_supervision,48,0.0,0,0.0,512754,1694.0610430028755,0.0002
continuous_supervision,49,0.0,0,0.0,513359,1692.6733599975705,0.0001
event_gated_no_cooccurrence,0,0.0,0,0.0,153425,1611.5499659790657,0.0011
event_gated_no_cooccurrence,1,0.0,0,0.0,155873,1612.5700490083545,0.0012
event_gated_no_cooccurrence,2,0.0,0,0.0,154641,1610.5471090122592,0.0086
event_gated_no_cooccurrence,3,0.0,0,0.0,154489,1611.9766479823738,0.0015
event_gated_no_cooccurrence,4,0.0,0,0.0,153693,1611.1797679914162,0.0011
event_gated_no_cooccurrence,5,0.0,0,0.0,153556,1614.8040749831125,0.0024
event_gated_no_cooccurrence,6,0.0,0,0.0,154203,1612.3247670184355,0.0007
event_gated_no_cooccurrence,7,0.0,0,0.0,155308,1614.9738680105656,0.0017
event_gated_no_cooccurrence,8,0.0,0,0.0,153953,1613.787024980411,0.001
event_gated_no_cooccurrence,9,0.0,0,0.0,153939,1612.4099949956872,0.0012
event_gated_no_cooccurrence,10,0.0,0,0.0,154855,1613.1098740152083,0.0028
event_gated_no_cooccurrence,11,0.0,0,0.0,154522,1612.0201850135345,0.0014
event_gated_no_cooccurrence,12,0.0,0,0.0,152770,1611.4151510118973,0.0013
event_gated_no_cooccurrence,13,0.0,0,0.0,153257,1614.415755000664,0.0014
event_gated_no_cooccurrence,14,0.0,0,0.0,155350,1614.4502660026774,0.0067
event_gated_no_cooccurrence,15,0.0,0,0.0,154933,1614.9693700135686,0.0019
event_gated_no_cooccurrence,16,0.0,0,0.0,154787,1611.9590979942586,0.0012
event_gated_no_cooccurrence,17,0.0,0,0.0,156074,1612.406039988855,0.0017
event_gated_no_cooccurrence,18,0.0,0,0.0,154057,1613.5914729966316,0.0024
event_gated_no_cooccurrence,19,0.0,0,0.0,154834,1611.4454230119009,0.0015
event_gated_no_cooccurrence,20,0.0,0,0.0,153973,1611.3414319988806,0.0016
event_gated_no_cooccurrence,21,0.0,0,0.0,154150,1610.705647006398,0.0006
event_gated_no_cooccurrence,22,0.0,0,0.0,154389,1610.5975919927005,0.002
event_gated_no_cooccurrence,23,0.0,0,0.0,154398,1610.9304490091745,0.0016
event_gated_no_cooccurrence,24,0.0,0,0.0,155225,1613.3757369825616,0.0012
event_gated_no_cooccurrence,25,0.0,0,0.0,154213,1609.7568960103672,0.0015
event_gated_no_cooccurrence,26,0.0,0,0.0,154269,1612.583734007785,0.0013
event_gated_no_cooccurrence,27,0.0,0,0.0,152713,1613.1530150014441,0.0012
event_gated_no_cooccurrence,28,0.0,0,0.0,153590,1613.5952529730275,0.0016
event_gated_no_cooccurrence,29,0.0,0,0.0,155016,1614.3542699865066,0.0015
event_gated_no_cooccurrence,30,0.0,0,0.0,153861,1615.5808869807515,0.0016
event_gated_no_cooccurrence,31,0.0,0,0.0,153469,1613.6855029908475,0.0006
event_gated_no_cooccurrence,32,0.0,0,0.0,153486,1613.1928249960765,0.0014
event_gated_no_cooccurrence,33,0.0,0,0.0,154455,1611.9154139887542,0.0008
event_gated_no_cooccurrence,34,0.0,0,0.0,153845,1609.7194750036579,0.0011
event_gated_no_cooccurrence,35,0.0,0,0.0,154000,1612.6701880129986,0.0024
event_gated_no_cooccurrence,36,0.0,0,0.0,154962,1614.2703880032059,0.0068
event_gated_no_cooccurrence,37,0.0,0,0.0,153778,1612.5279050029349,0.0023
event_gated_no_cooccurrence,38,0.0,0,0.0,154080,1613.5055530176032,0.0018
event_gated_no_cooccurrence,39,0.0,0,0.0,154615,1613.7467270018533,0.0016
event_gated_no_cooccurrence,40,0.0,0,0.0,154035,1610.501788003603,0.0014
event_gated_no_cooccurrence,41,0.0,0,0.0,153565,1612.0893139741383,0.0015
event_gated_no_cooccurrence,42,0.0,0,0.0,154965,1610.0163869850803,0.0016
event_gated_no_cooccurrence,43,0.0,0,0.0,154323,1610.7690350036137,0.002
event_gated_no_cooccurrence,44,0.0,0,0.0,154515,1610.025244008284,0.0016
event_gated_no_cooccurrence,45,0.0,0,0.0,156085,1611.4587490155827,0.0017
event_gated_no_cooccurrence,46,0.0,0,0.0,152854,1609.9820020026527,0.0094
event_gated_no_cooccurrence,47,0.0,0,0.0,153118,1609.939868998481,0.001
event_gated_no_cooccurrence,48,0.0,0,0.0,152885,1613.0398030218203,0.0011
event_gated_no_cooccurrence,49,0.0,0,0.0,154094,1612.737821007613,0.001
event_gated_duj,0,0.0,0,0.0,139760,1855.960827000672,0.0097
event_gated_duj,1,0.0,0,0.0,139289,1856.4038359909318,0.0092
event_gated_duj,2,0.0,0,0.0,139486,1854.3552960036322,0.0153
event_gated_duj,3,0.0,0,0.0,139421,1852.0611790008843,0.0109
