step,total_agents,batch_size,batches,violations,corrections,correction_energy,mean_residual,latency_ms
0,1000000000,1000000,1000,16777216,16777216,1048576.0,0.002097152,6575.598274008371
1,1000000000,1000000,1000,12502260,12502260,421016.09375,0.002097152,5106.286666006781
2,1000000000,1000000,1000,12498959,12498959,420927.40625,0.002097152,5106.300187006127
3,1000000000,1000000,1000,12505524,12505524,421117.5625,0.002097152,5106.559603998903
4,1000000000,1000000,1000,12498450,12498450,420909.3125,0.002097152,5106.323168001836
5,1000000000,1000000,1000,12502494,12502494,421043.4375,0.002097152,5106.316338002216
6,1000000000,1000000,1000,12507355,12507355,421181.28125,0.002097152,5106.446762976702
7,1000000000,1000000,1000,12503501,12503501,421044.9375,0.002097152,5106.336636003107
8,1000000000,1000000,1000,12499041,12499041,420935.8125,0.002097152,5106.323601008626
9,1000000000,1000000,1000,12504731,12504731,421119.21875,0.002097152,5106.666386011057
