step,parents,children,total_agents,violations,corrections,correction_energy,mean_residual,latency_ms
0,200000000,800000000,1000000000,0,0,0.0,0.036134892064294516,3820.687970990548
1,200000000,800000000,1000000000,0,0,0.0,0.03865324501223295,3362.133824004559
2,200000000,800000000,1000000000,0,0,0.0,0.04088736752261517,3361.938582995208
3,200000000,800000000,1000000000,0,0,0.0,0.04287636707325519,3361.9533629971556
4,200000000,800000000,1000000000,0,0,0.0,0.04466208346717971,3365.0747440115083
5,200000000,800000000,1000000000,0,0,0.0,0.04627663299053972,3362.577400985174
6,200000000,800000000,1000000000,0,0,0.0,0.047741937844696575,3362.5022239866666
7,200000000,800000000,1000000000,0,0,0.0,0.0490775714445703,3362.5767809862737
8,200000000,800000000,1000000000,2,2,0.3183953034655924,0.05030091264202813,3362.7539290173445
9,200000000,800000000,1000000000,12,12,1.919531788496746,0.05142498240392839,3362.594975013053
