noise,window,min_hits,failure_rate,correction_budget,final_instability,latency_ms
0.0,3,3,0.0631,194272.9333,0.3391,1924.2032
0.0,5,4,0.0567,214548.9333,0.3216,1992.048
0.0,5,5,0.0817,176563.1667,0.3851,1990.8196
0.0,7,5,0.0547,231573.6,0.3156,2063.6026
0.3,3,3,0.0657,340902.8333,0.3339,1946.2986
0.3,5,4,0.0589,369339.0667,0.3156,2013.5354
0.3,5,5,0.0808,194558.3333,0.3792,1988.7218
0.3,7,5,0.0558,370282.1333,0.3085,2081.5463
0.5,3,3,0.0794,841468.6,0.3468,2013.7101
0.5,5,4,0.0782,1121580.8333,0.3366,2116.8643
0.5,5,5,0.082,293488.3667,0.3736,2004.7243
0.5,7,5,0.0783,1255507.9,0.3351,2203.071
0.7,3,3,0.1125,1894112.6667,0.3971,2156.8893
0.7,5,4,0.1281,2854279.7,0.4144,2334.6871
0.7,5,5,0.0962,724621.9667,0.3867,2065.7992
0.7,7,5,0.1412,3491281.5,0.4319,2464.2686
0.95,3,3,0.1839,4058327.9333,0.5168,2379.2999
0.95,5,4,0.2177,5888873.8,0.5601,2551.0756
0.95,5,5,0.1607,2417335.9,0.4907,2292.3544
0.95,7,5,0.2375,6880291.9333,0.5879,2671.29
