mode,seed,agents,steps,failures,failure_rate,max_abs_state,mean_abs_state,correction_budget,correction_events,latency_ms,final_instability
control,0,5000,1000,763,0.1526,7.503305843816842,1.3835069070610992,0.0,0,360.9572220011614,0.6686
control,1,5000,1000,753,0.1506,6.920959358092548,1.3875958669075796,0.0,0,359.7268329904182,0.6644
control,2,5000,1000,795,0.159,6.6531974791758115,1.385587101854494,0.0,0,359.20970400911756,0.6592
control,3,5000,1000,818,0.1636,7.014645508482033,1.4181923481919152,0.0,0,359.5531030005077,0.6726
control,4,5000,1000,780,0.156,7.4641579738457775,1.3805466389119225,0.0,0,359.30855400511064,0.6644
control,5,5000,1000,793,0.1586,7.90462150226807,1.3924252683861276,0.0,0,359.8669310013065,0.6658
control,6,5000,1000,771,0.1542,7.878874318400433,1.383687685569873,0.0,0,359.5764939964283,0.6678
control,7,5000,1000,752,0.1504,7.124446644826121,1.356135506642646,0.0,0,359.7028000076534,0.6598
control,8,5000,1000,794,0.1588,6.500430826691681,1.3876406367875016,0.0,0,358.53282899188343,0.6596
control,9,5000,1000,814,0.1628,6.287614708961904,1.4082660587363822,0.0,0,359.00237200257834,0.6656
control,10,5000,1000,817,0.1634,6.9633485965869015,1.4052918399777077,0.0,0,359.712015997502,0.6718
control,11,5000,1000,797,0.1594,6.617765125731462,1.3886451082479607,0.0,0,359.3111130030593,0.6596
control,12,5000,1000,796,0.1592,7.461116075292459,1.4029274916944272,0.0,0,359.2033029999584,0.6664
control,13,5000,1000,764,0.1528,8.272615546242296,1.4023402623171184,0.0,0,359.4309549953323,0.6722
control,14,5000,1000,738,0.1476,7.211199520908995,1.3646760192302247,0.0,0,359.13063000771217,0.648
control,15,5000,1000,746,0.1492,6.81186886995072,1.3621572773975874,0.0,0,358.76057601126377,0.66
control,16,5000,1000,744,0.1488,6.803153148702071,1.4021966425913994,0.0,0,358.63161299494095,0.677
control,17,5000,1000,816,0.1632,7.186320114412008,1.404573694591439,0.0,0,359.04602000664454,0.661
control,18,5000,1000,808,0.1616,6.878635335248489,1.413272426119658,0.0,0,358.5287640016759,0.6774
control,19,5000,1000,824,0.1648,6.4927041408266986,1.4072257702930264,0.0,0,359.0933480008971,0.6752
control,20,5000,1000,817,0.1634,6.497000302487959,1.4096360482560573,0.0,0,358.6772459966596,0.6662
control,21,5000,1000,755,0.151,7.2071936752303625,1.3893953463166275,0.0,0,359.33440799999516,0.6674
control,22,5000,1000,795,0.159,6.206408401460541,1.3912535735106522,0.0,0,358.7340139929438,0.663
control,23,5000,1000,761,0.1522,6.294431335296628,1.3793551276681038,0.0,0,358.6473239993211,0.6676
control,24,5000,1000,831,0.1662,7.172474872742283,1.4048011367739288,0.0,0,358.6821089993464,0.6598
control,25,5000,1000,775,0.155,6.070748233954943,1.3833894450049553,0.0,0,358.8479359896155,0.6684
control,26,5000,1000,767,0.1534,7.238609791685441,1.380227513669402,0.0,0,359.21024500567,0.6622
control,27,5000,1000,796,0.1592,6.64604191130445,1.390914207025068,0.0,0,359.0600669995183,0.6732
control,28,5000,1000,770,0.154,6.416271371485601,1.387346531409885,0.0,0,358.8236139912624,0.6724
control,29,5000,1000,770,0.154,6.848418304301848,1.3877336501719124,0.0,0,359.1330920025939,0.6626
control,30,5000,1000,765,0.153,6.317329766256583,1.3803267966401787,0.0,0,358.3535589859821,0.6678
control,31,5000,1000,788,0.1576,7.014922640853949,1.4239683375578962,0.0,0,358.3599260018673,0.6796
control,32,5000,1000,796,0.1592,6.948367954847125,1.3937738238243134,0.0,0,358.5351619985886,0.6672
control,33,5000,1000,795,0.159,6.381473384286399,1.3996079371273304,0.0,0,358.75970899360254,0.6674
control,34,5000,1000,787,0.1574,7.366352795726462,1.4086562476623044,0.0,0,358.777565008495,0.6692
